KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
JetpackBoostEpic,[c][c724b1]Jetpack Boost (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗喷气背包加成[-][/c],,,,,,
ArmorBoostEpic,[c][c724b1]Armor Boost (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗装甲加成[-][/c],,,,,,
ArmorLightEpic,[c][c724b1]Armor Light (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗轻型装甲[-][/c],,,,,,
ArmorMediumEpic,[c][c724b1]Armor Medium (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗中型装甲[-][/c],,,,,,
ArmorHeavyEpic,[c][c724b1]Armor Heavy (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗重型装甲[-][/c],,,,,,
DrillEpic,[c][c724b1]Drill (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗钻头[-][/c],,,,,,
PulseRifleEpic,[c][c724b1]EM Pulse Rifle (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗电磁脉冲步枪[-][/c],,,,,,
RocketLauncherEpic,[c][c724b1]Rocket Launcher (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗火箭发射器[-][/c],,,,,,
PistolEpic,[c][c724b1]Pistol (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗手枪[-][/c],,,,,,
ScifiCannonEpic,[c][c724b1]Plasma Cannon (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗等离子炮[-][/c],,,,,,
LaserRifleEpic,[c][c724b1]Plasma Rifle (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗等离子步枪[-][/c],,,,,,
Shotgun2Epic,[c][c724b1]Assault Shotgun (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗突击霰弹枪[-][/c],,,,,,
MinigunEpic,[c][c724b1]Laser Minigun (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗激光迷你机枪[-][/c],,,,,,
Sniper2Epic,[c][c724b1]Heavy Sniper Rifle (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗重型狙击步枪[-][/c],,,,,,
AssaultRifleEpic,[c][c724b1]Assault Rifle (Epic)[-][/c],,,,,,,,,,[c][c724b1]史诗突击步枪[-][/c],,,,,,
RocketLauncherDebug,[c][ff0000]Rocket Launcher (Debug)[-][/c],,,,,,,,,,[c][ff0000]调试火箭发射器[-][/c],,,,,,
AssaultRifleDebug,[c][ff0000]Assault Rifle (Debug)[-][/c],,,,,,,,,,[c][ff0000]调试突击步枪[-][/c],,,,,,
DrillDebug,[c][ff0000]Drill (Debug)[-][/c],,,,,,,,,,[c][ff0000]调试钻头[-][/c],,,,,,
RadarSuitDebug,[c][ff0000]Detector (Debug)[-][/c],,,,,,,,,,[c][ff0000]调试探测器[-][/c],,,,,,
DecalGunDebug,[c][ff0000]Decal Gun (Debug)[-][/c],,,,,,,,,,[c][ff0000]调试贴花枪[-][/c],,,,,,
TaelynBotWalking,Taelyn Bot,,,,,,,,,,Taelyn Bot,,,,,,
TaelynBotBlock,Taelyn Bot (Clone),,,,,,,,,,Taelyn Bot（克隆）,,,,,,
ClownBotWalking,TSM 'Clown' Bot,,,,,,,,,,TSM 'Clown' Bot,,,,,,
LilRobotOrangeWalking,Brad Chadley,,,,,,,,,,Brad Chadley,,,,,,
LilRobotBlueWalking,Derek,,,,,,,,,,Derek,,,,,,
bkiSuitProps,Will be equipped automatically when carried in inventory or toolbar.,,,,,,,,,,当携带在背包或工具栏中时，将自动装备。,,,,,,
bkiExplorerToken,Redeem at a GIN console in any trading station!\nUnlock rewards and raise your rank with the Exploration Guild!,,,,,,,,,,在任何贸易空间站的GIN控制台兑换！\n解锁奖励并提升你在探索协会的等级！,,,,,,
CPUOut,CPU (out),,,,,,,,,,CPU（输出）,,,,,,
CPUIn,CPU (in),,,,,,,,,,CPU（输入）,,,,,,
igmPvPWarning,You are now in a PVP area (see icon) - other players can attack and damage you and your ship!,Du bist jetzt in einem PVP-Gebiet (siehe Symbol) - andere Spieler können dich und dein Schiff angreifen und Schaden zufügen!,,,,,,,,,您现在正处于 PVP 区域(见图标)--其他玩家可以攻击并伤害您和您的飞船！,,,,,,
TurretBasePulseLaserRetract,Pulse Laser Turret  (retractable),,,,,,,,,,脉冲激光炮台（可伸缩）,,,,,,
bmCrashSite,Crash Site,,,,,,,,,,坠机现场,,,,,,
PirateHat,[c][fff700]Pirate Hat (yarrr)[-][/c],,,,,,,,,,[c][fff700]海盗帽 (yarrr)[-][/c],,,,,,
SheriffHat,[c][fff700]Sheriffs Hat[-][/c],,,,,,,,,,[c][fff700]警长帽[-][/c],,,,,,
Sombrero,[c][fff700]Sombrero[-][/c],,,,,,,,,,[c][fff700]墨西哥帽[-][/c],,,,,,
CowboyHat,[c][fff700]Cowboy Hat[-][/c],,,,,,,,,,[c][fff700]牛仔帽[-][/c],,,,,,
HornHelmet,[c][fff700]Viking Helmet[-][/c],,,,,,,,,,[c][fff700]维京头盔[-][/c],,,,,,
ShieldExtenderBA,Shield Extender (BA),,,,,,,,,,建造机护盾扩展器（BA）,,,,,,
ShieldExtenderCV,Shield Extender (CV),,,,,,,,,,主力舰护盾扩展器（CV）,,,,,,
ShieldExtenderSV,Shield Extender (SV),,,,,,,,,,小型飞船护盾扩展器（SV）,,,,,,
ShieldExtenderHV,Shield Extender (HV),,,,,,,,,,悬浮飞船护盾扩展器（HV）,,,,,,
ShieldCapacityBonus,Shield Capacity (Bonus),,,,,,,,,,护盾容量（加成）,,,,,,
ShieldRechargeBonus,Shield Recharge (Bonus),,,,,,,,,,护盾充电（加成）,,,,,,
bkiShieldExtender,Extender to extend the Shield Capactity and Recharge Rate\n\nCan be placed anywhere.,,,,,,,,,,扩展器，用于增加护盾容量和充电速率\n\n可以放置在任何地方。,,,,,,
bkiSuitProps,Will be equipped automatically when carried in inventory or toolbar.,,,,,,,,,,当携带在背包或工具栏中时，将自动装备。,,,,,,
BronzeCrown,[c][fff700]Bronze Crown[-][/c],,,,,,,,,,[c][fff700]铜皇冠[-][/c],,,,,,
SilverCrown,[c][fff700]Silver Crown[-][/c],,,,,,,,,,[c][fff700]银皇冠[-][/c],,,,,,
GoldCrown,[c][fff700]Gold Crown[-][/c],,,,,,,,,,[c][fff700]金皇冠[-][/c],,,,,,
SantaClausMaleWalking,Santa Claus,,,,,,,,,,圣诞老人,,,,,,
MrsClausFemaleWalking,Mrs. Claus,,,,,,,,,,圣诞夫人,,,,,,
ElfGirlStatic,Magic Elf,,,,,,,,,,魔法精灵,,,,,,
bkiDecalGun,-[c][00ff00]LeftShift + Scrollwheel[-][/c] to scale a decal\n\n-[c][00ff00]LeftControl + Scrollwheel[-][/c] to rotate a decal\n\n-[c][00ff00]LeftShift + LeftControl + Scrollwheel[-][/c] to change decal distance it snaps to a wall\n\n-[c][00ff00]PageUp[-][/c] / [c][00ff00]PageDown[-][/c] to cycle between decals in the same group,,,,,,,,,,-[c][00ff00]左Shift + 滚轮[-][/c] 调整贴花大小\n\n-[c][00ff00]左Ctrl + 滚轮[-][/c] 旋转贴花\n\n-[c][00ff00]左Shift + 左Ctrl + 滚轮[-][/c] 改变贴花距离，使其紧贴墙面\n\n-[c][00ff00]PageUp[-][/c] / [c][00ff00]PageDown[-][/c] 在同组贴花间切换,,,,,,
