KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
tasktitleBasicTrainingAridC,Basic Food Production,,,,,,,,,,基础食物生产,,,,,,
acttitleBasicTrainingAridC,Energy Bars,,,,,,,,,,能量棒,,,,,,
actdescBasicTrainingAridC,Craft 3 Energy Bars,,,,,,,,,,制作3个能量棒,,,,,,
chptitleBasicTrainingAridD,Claiming Salvage,,,,,,,,,,回收残骸,,,,,,
chpdescBasicTrainingAridD,Learn how to claim salvage.,,,,,,,,,,学会如何回收残骸。,,,,,,
tasktitleBasicTrainingAridD,Basic Engineering,,,,,,,,,,基础工程,,,,,,
acttitleBasicTrainingAridD,Place a Core,,,,,,,,,,放置核心,,,,,,
actdescBasicTrainingAridD,Craft and Place a Core on a structure or other slavage.,,,,,,,,,,在一个建筑或其他残骸上制作并放置一个核心。,,,,,,
chptitleEngineering1,Rank 1,,,,,,,,,,等级1,,,,,,
tasktitleEngineering1a,Basic Bases,,,,,,,,,,基础基地,,,,,,
acttitleEngineering1a,Power Generation,,,,,,,,,,发电,,,,,,
actdescEngineering1a,Place a Generator or a Solar Capacitor,,,,,,,,,,放置发电机或太阳能电容器,,,,,,
acttitleEngineering1b,Fuel Sources,,,,,,,,,,燃料来源,,,,,,
actdescEngineering1b,Place a Fuel Tank or a Solar Panel,,,,,,,,,,放置燃料罐或太阳能板,,,,,,
acttitleEngineering1c,Constructor,,,,,,,,,,构造机,,,,,,
actdescEngineering1c,Place a Small Constructor,,,,,,,,,,放置一个小型构造机,,,,,,
tasktitleEngineering1b,A Better Constructor,,,,,,,,,,更好的构造机,,,,,,
acttitleEngineering1d,Craft a Large Constructor,,,,,,,,,,制作一个大型构造机,,,,,,
actdescEngineering1d,Craft a Large Constructor,,,,,,,,,,制作一个大型构造机,,,,,,
chptitleEngineering2,Rank 2,,,,,,,,,,等级2,,,,,,
chpdescEngineering2,Build or Salvage a Hover Vessel in order to advance to Engineering Rank 2.,,,,,,,,,,建造或回收一艘悬浮飞船以晋升至工程等级2。,,,,,,
tasktitleEngineering2a,Equip your Hover Vessel,,,,,,,,,,装备你的悬浮飞船,,,,,,
acttitleEngineering2b,Hover Engines,,,,,,,,,,悬浮引擎,,,,,,
actdescEngineering2b,Place four Hover Engines on your HV,,,,,,,,,,在你的HV上放置四个悬浮引擎,,,,,,
acttitleEngineering2c,Thrusters,,,,,,,,,,推进器,,,,,,
actdescEngineering2c,Place four Small Thrusters on your HV,,,,,,,,,,在你的HV上放置四个小型推进器,,,,,,
tasktitleEngineering2b,Power on your HV,,,,,,,,,,为你的HV供电,,,,,,
acttitleEngineering2d,Turn on your HV,,,,,,,,,,启动你的HV,,,,,,
actdescEngineering2d,Turn on your HV,,,,,,,,,,启动你的HV,,,,,,
chptitleEngineering3,Rank 3,,,,,,,,,,等级3,,,,,,
chpdescEngineering3,Build or Salvage a Small Vessel in order to advance to Engineering Rank 3.,,,,,,,,,,建造或回收一艘小型飞船以晋升至工程等级3。,,,,,,
tasktitleEngineering3a,Equip your Small Vessel,,,,,,,,,,装备你的小型飞船,,,,,,
acttitleEngineering3b,Small Thrusters,,,,,,,,,,小型推进器,,,,,,
actdescEngineering3b,Place four Small Thrusters on your SV,,,,,,,,,,在你的SV上放置四个小型推进器,,,,,,
acttitleEngineering3c,Medium Thrusters,,,,,,,,,,中型推进器,,,,,,
actdescEngineering3c,Place two Medium Thrusters on your SV,,,,,,,,,,在你的SV上放置两个中型推进器,,,,,,
tasktitleEngineering3b,Power on your SV,,,,,,,,,,为你的SV供电,,,,,,
acttitleEngineering3d,Turn on your SV,,,,,,,,,,启动你的SV,,,,,,
actdescEngineering3d,Turn on your SV,,,,,,,,,,启动你的SV,,,,,,
chptitleEngineering4,Rank 4,,,,,,,,,,等级4,,,,,,
chpdescEngineering4,Build or Salvage a Capital Vessel in order to advance to Engineering Rank 4.,,,,,,,,,,建造或回收一艘主力舰以晋升至工程等级4。,,,,,,
tasktitleEngineering4a,Equip your Capital Vessel,,,,,,,,,,装备你的主力舰,,,,,,
acttitleEngineering4b,Small Thrusters,,,,,,,,,,小型推进器,,,,,,
actdescEngineering4b,Place four Small Thrusters on your CV,,,,,,,,,,在你的CV上放置四个小型推进器,,,,,,
acttitleEngineering4c,Medium Thrusters,,,,,,,,,,中型推进器,,,,,,
actdescEngineering4c,Place two Medium Thrusters on your CV,,,,,,,,,,在你的CV上放置两个中型推进器,,,,,,
tasktitleEngineering4b,Power on your CV,,,,,,,,,,为你的CV供电,,,,,,
acttitleEngineering4d,Turn on your CV,,,,,,,,,,启动你的CV,,,,,,
actdescEngineering4d,Turn on your CV,,,,,,,,,,启动你的CV,,,,,,
chptitleEngineering5,Rank 5 - Derelict Orbital Station,,,,,,,,,,等级5 - 废弃轨道空间站,,,,,,
chpdescEngineering5,Find and Repair a Derelict Orbital Station to advance to Rank 5,,,,,,,,,,寻找并修复一个废弃轨道空间站以晋升至等级5,,,,,,
tasktitleEngineering5b,Staking Your Claim,,,,,,,,,,宣称主权,,,,,,
tasktitleEngineering5c,Power Generation Required,,,,,,,,,,需要发电,,,,,,
acttitleEngineering5c1,Place a Generator or Solar Capacitor,,,,,,,,,,放置发电机或太阳能电容器,,,,,,
actdescEngineering5c1,Add either a Generator or a Solar Capacitor to the base.,,,,,,,,,,在基地添加发电机或太阳能电容器。,,,,,,
acttitleEngineering5c2,Place a Fuel Tank or Solar Pannels,,,,,,,,,,放置燃料罐或太阳能板,,,,,,
actdescEngineering5c2,Add a Fuel Tank or Solar Pannels to the base.,,,,,,,,,,在基地上添加一个燃料罐或太阳能板。,,,,,,
tasktitleEngineering5e,Artificial Gravity,,,,,,,,,,人工重力,,,,,,
acttitleEngineering5e,Place a Gravity Generator,,,,,,,,,,放置重力发生器,,,,,,
actdescEngineering5e,Add a Gravity Generator to the Orbital Station,,,,,,,,,,在轨道站上添加一个重力发生器,,,,,,
tasktitleEngineering5f,Construction Systems,,,,,,,,,,建造系统,,,,,,
acttitleEngineering5f,Place a Constructor,,,,,,,,,,放置建造机,,,,,,
actdescEngineering5f,Place a Large or Advanced Constructor,,,,,,,,,,放置一个大型或高级建造机,,,,,,
tasktitleEngineering5g,Oxygen Systems,,,,,,,,,,氧气系统,,,,,,
acttitleEngineering5g1,Place an Oxygen Tank,,,,,,,,,,放置氧气罐,,,,,,
actdescEngineering5g1,Add a Large or Small O2 Tank,,,,,,,,,,添加一个大或小型氧气罐,,,,,,
acttitleEngineering5g2,Place a Ventilator,,,,,,,,,,放置通风机,,,,,,
actdescEngineering5g2,Add a Ventilator to the Orbital Station.,,,,,,,,,,在轨道站上添加一个通风机。,,,,,,
tasktitleEngineering5h,Mess Hall,,,,,,,,,,餐厅,,,,,,
acttitleEngineering5h1,Place a Food Processor,,,,,,,,,,放置食物处理器,,,,,,
actdescEngineering5h1,Add a Food Processor to the Orbital Station,,,,,,,,,,在轨道站上添加一个食物处理器,,,,,,
acttitleEngineering5h2,Place a Fridge,,,,,,,,,,放置冰箱,,,,,,
actdescEngineering5h2,Add a Fridge on the Orbital Station,,,,,,,,,,在轨道站上添加一个冰箱,,,,,,
tasktitleEngineering5i,Computer Issues,,,,,,,,,,计算机问题,,,,,,
acttitleEngineering5i1,Place two T3 CPU Extenders on the Orbital Station,,,,,,,,,,在轨道站上放置两个T3计算单元扩展器,,,,,,
actdescEngineering5i1,The orbital station requires a large amount of CPU to function properly. Add two T3 CPU Extenders to increase the CPU Efficiency to %100.,,,,,,,,,,轨道站需要大量计算单元才能正常运行。添加两个T3计算单元扩展器以将计算单元效率提升至100%。,,,,,,
chptitleZiraxCodes,Strange Transmission: Zirax Codes.,,,,,,,,,,神秘传输：兹瑞克斯密码。,,,,,,
chpdescZiraxCodes,Zirax Codes:\n0223402252023230\n0245403242033250\n0352203545042320\n0425504532052340\n0524205342054350,,,,,,,,,,兹瑞克斯密码：\n0223402252023230\n0245403242033250\n0352203545042320\n0425504532052340\n0524205342054350,,,,,,
tasktitleZiraxCodes,Strange Transmission: Zirax Codes,,,,,,,,,,神秘传输：兹瑞克斯密码,,,,,,
acttitleZiraxCodes,Open your PDA.,,,,,,,,,,打开你的个人数字助理。,,,,,,
actdescZiraxCodes,Zirax Codes:\n0223402252023230\n0245403242033250\n0352203545042320\n0425504532052340\n0524205342054350,,,,,,,,,,兹瑞克斯密码：\n0223402252023230\n0245403242033250\n0352203545042320\n0425504532052340\n0524205342054350,,,,,,
chptitleEngineering6,Rank 6,,,,,,,,,,等级6,,,,,,
chpdescEngineering6,Place five Auto-Miners to advanced to Rank 6,,,,,,,,,,放置五个自动采矿机以晋升到等级6,,,,,,
chptitleEngineering7,Rank 7,,,,,,,,,,等级7,,,,,,
chpdescEngineering7,Place a Teleporter to advance to Rank 7,,,,,,,,,,放置一个传送器以晋升到等级7,,,,,,
tasktitleEngineering7,Teleportation,,,,,,,,,,传送,,,,,,
acttitleEngineering7,Place a Teleporter,,,,,,,,,,放置传送器,,,,,,
actdescEngineering7,Add a Teleporter to your Base or Capital Vessel,,,,,,,,,,在你的基地或主力舰上添加一个传送器,,,,,,
chptitleTacticalCombat1,Rank 1,,,,,,,,,,等级1,,,,,,
chpdescTacticalCombat1,Practice your combat skills by killing some more spiders.,,,,,,,,,,通过击杀更多蜘蛛来练习你的战斗技能。,,,,,,
tasktitleTacticalCombat1,Hostile Environment,,,,,,,,,,敌对环境,,,,,,
acttitleTacticalCombat1,Spiders,,,,,,,,,,蜘蛛,,,,,,
actdescTacticalCombat1,Kill 10 Spiders,,,,,,,,,,击杀10只蜘蛛,,,,,,
chptitleTacticalCombat2,Rank 2,,,,,,,,,,等级2,,,,,,
chpdescTacticalCombat2,Eliminating additional enemy forces will help you learn more about their combat tactics.,,,,,,,,,,消灭更多敌军将帮助你了解他们的战斗战术。,,,,,,
tasktitleTacticalCombat2,Enemy Combatants,,,,,,,,,,敌方战斗人员,,,,,,
acttitleTacticalCombat2,Zirax Forces,,,,,,,,,,兹瑞克斯部队,,,,,,
actdescTacticalCombat2,Kill 25 Zirax Soldiers or Ripper Dogs,,,,,,,,,,击杀25名兹瑞克斯士兵或撕裂犬,,,,,,
chptitleTacticalCombat3,Rank 3,,,,,,,,,,等级3,,,,,,
chpdescTacticalCombat3,"Eleminate Enemy Drones ",,,,,,,,,,消灭敌方无人机,,,,,,
tasktitleTacticalCombat3,Enemy Assault Drones,,,,,,,,,,敌方突击无人机,,,,,,
acttitleTacticalCombat3,Zirax Drones,,,,,,,,,,兹瑞克斯无人机,,,,,,
chptitleTacticalCombat4,Rank 4,,,,,,,,,,等级4,,,,,,
chpdescTacticalCombat4,Reduce Zirax Territory by taking out the core of their structures.,,,,,,,,,,通过摧毁兹瑞克斯建筑的核心来减少其领土。,,,,,,
tasktitleTacticalCombat4,Zirax Defense Towers,,,,,,,,,,兹瑞克斯防御塔,,,,,,
acttitleTacticalCombat4,Defense Towers,,,,,,,,,,防御塔,,,,,,
actdescTacticalCombat4,Destroy the Core of 5 Zirax Defensive Towers,,,,,,,,,,摧毁5座兹瑞克斯防御塔的核心,,,,,,
chptitleTacticalCombat5,Rank 5 - Rados Drone Base,,,,,,,,,,等级5 - 拉多斯无人机基地,,,,,,
chpdescTacticalCombat5,"In order to drive the Zirax off the planet, you must take out their Drone Base!!!",,,,,,,,,,为了将兹瑞克斯驱逐出星球，你必须摧毁他们的无人机基地！！！,,,,,,
tasktitleTacticalCombat5a,Rados Drone Base: Assault,,,,,,,,,,拉多斯无人机基地：突击,,,,,,
acttitleTacticalCombat5a,Attack and Infiltrate the Rados Drone Base.,,,,,,,,,,攻击并渗透拉多斯无人机基地。,,,,,,
actdescTacticalCombat5a,"Locate the Rados Drone Base, plan your assault, and enact your plan. Don't forget, you must take down the base's shields before you can take out the core. Deal enough damage and the shields will come down.\n\nHint: If you are allied with a scout, they may have found the base already.\nHint: An Engineer may be able to help you get past difficult door codes.",,,,,,,,,,定位拉多斯无人机基地，策划你的进攻，并执行计划。别忘了，你需要先摧毁基地的护盾才能摧毁核心。造成足够伤害后，护盾会关闭。\n\n提示：如果你与侦察兵结盟，他们可能已经发现了基地。\n提示：工程师可能帮你破解困难的门禁密码。,,,,,,
tasktitleTacticalCombat5b,Rados Drone Base: Core Access,,,,,,,,,,拉多斯无人机基地：核心通道,,,,,,
acttitleTacticalCombat5b,Access the Core Room,,,,,,,,,,进入核心室,,,,,,
actdescTacticalCombat5b,Gain Access to the Core Room of the Rados Drone Base.,,,,,,,,,,进入拉多斯无人机基地的核心室。,,,,,,
tasktitleTacticalCombat5c,Rados Drone Base: Core Room,,,,,,,,,,拉多斯无人机基地：核心室,,,,,,
acttitleTacticalCombat5c,Destroy the Core.,,,,,,,,,,摧毁核心。,,,,,,
actdescTacticalCombat5c,Destroy the Core of the Rados Drone Base.,,,,,,,,,,摧毁拉多斯无人机基地的核心。,,,,,,
chptitleTacticalCombat6,Rank 6,,,,,,,,,,等级6,,,,,,
chpdescTacticalCombat6,Destroy 50 Zirax Space Drones,,,,,,,,,,摧毁50架兹瑞克斯太空无人机,,,,,,
tasktitleTacticalCombat6,Space Wars,,,,,,,,,,太空战争,,,,,,
acttitleTacticalCombat6,Destroy Space Drones,,,,,,,,,,摧毁太空无人机,,,,,,
actdescTacticalCombat6,Destroy 100 Space Drones to keep the Zirax on the defensive.,,,,,,,,,,摧毁100架太空无人机，让兹瑞克斯处于防守态势。,,,,,,
chptitleTacticalCombat7,Rank 7,,,,,,,,,,等级7,,,,,,
chpdescTacticalCombat7,Defeat a Zirax Patrol Vessel,,,,,,,,,,击败一艘兹瑞克斯巡逻飞船,,,,,,
chptitleMedical1,Rank 1,,,,,,,,,,等级1,,,,,,
chpdescMedical1,Craft enough medical supplies to support you and your allies.,,,,,,,,,,制作足够的医疗用品以支撑你和你的盟友。,,,,,,
tasktitleMedical1,Medical Supplies,,,,,,,,,,医疗用品,,,,,,
acttitleMedical1a,Bandages,,,,,,,,,,绷带,,,,,,
actdescMedical1a,Craft 10 Bandages,,,,,,,,,,制作10个绷带,,,,,,
acttitleMedical1b,Antibiotic Ointment,,,,,,,,,,抗生素软膏,,,,,,
actdescMedical1b,Craft 4 Antibiotic Ointment,,,,,,,,,,制作4支抗生素软膏,,,,,,
acttitleMedical1c,Antitoxic Ointment,,,,,,,,,,抗毒软膏,,,,,,
actdescMedical1c,Craft 4 Antitoxic Ointment,,,,,,,,,,制作4支抗毒软膏,,,,,,
acttitleMedical1d,Antiradiation Ointment,,,,,,,,,,抗辐射软膏,,,,,,
actdescMedical1d,Craft 4 Antiradiation Ointment,,,,,,,,,,制作4支抗辐射软膏,,,,,,
chptitleMedical2,Rank 2,,,,,,,,,,等级2,,,,,,
chpdescMedical2,Craft Medical Pills for your group.,,,,,,,,,,为你的团队制作医疗药片。,,,,,,
tasktitleMedical2,Improved Medical Supplies,,,,,,,,,,改进的医疗用品,,,,,,
acttitleMedical2a,Small Health Packs,,,,,,,,,,小型医疗包,,,,,,
actdescMedical2a,Craft 10 Small Health Packs,,,,,,,,,,制作10个小型医疗包,,,,,,
acttitleMedical2b,Antibiotic Pills,,,,,,,,,,抗生素药片,,,,,,
actdescMedical2b,Craft 4 Antibiotic Pills,,,,,,,,,,制作4粒抗生素药片,,,,,,
acttitleMedical2c,Antitoxic Pills,,,,,,,,,,抗毒药片,,,,,,
actdescMedical2c,Craft 4 Antitoxic Pills,,,,,,,,,,制作4粒抗毒药片,,,,,,
acttitleMedical2d,Anti Radiation Pills,,,,,,,,,,抗辐射药片,,,,,,
actdescMedical2d,Craft 4 Anti Radiaton Pills,,,,,,,,,,制作4粒抗辐射药片,,,,,,
acttitleMedical2e,Antiparasite Pills,,,,,,,,,,抗寄生虫药片,,,,,,
actdescMedical2e,Craft 4 Antiparasite Pills,,,,,,,,,,制作4粒抗寄生虫药片,,,,,,
chptitleMedical3,Rank 3,,,,,,,,,,等级3,,,,,,
chpdescMedical3,Craft Medical Injections for your group,,,,,,,,,,为你的团队制作医疗注射剂,,,,,,
tasktitleMedical3,Improved Medical Supplies,,,,,,,,,,改进的医疗用品,,,,,,
acttitleMedical3a,Antibiotic Injection,,,,,,,,,,抗生素注射剂,,,,,,
actdescMedical3a,Craft 4 Antibiotic Injections,,,,,,,,,,制作4支抗生素注射剂,,,,,,
acttitleMedical3b,Antitoxic Injection,,,,,,,,,,抗毒注射剂,,,,,,
actdescMedical3b,Craft 4 Antitoxic Injections,,,,,,,,,,制作4支抗毒注射剂,,,,,,
acttitleMedical3c,Anti Parasite Injection,,,,,,,,,,抗寄生虫注射液,,,,,,
actdescMedical3c,Craft 4 Anti Parasite Injections,,,,,,,,,,制作 4 支抗寄生虫注射液,,,,,,
chptitleMedical4,Rank 4,,,,,,,,,,等级 4,,,,,,
chpdescMedical4,Set up and stock your Sickbay,,,,,,,,,,设置并储备你的医务室,,,,,,
tasktitleMedical4A,Set up your Sickbay,,,,,,,,,,设置你的医务室,,,,,,
acttitleMedical4Aa,Medic Station,,,,,,,,,,医疗站,,,,,,
actdescMedical4Aa,Place a Medic Station,,,,,,,,,,放置一个医疗站,,,,,,
acttitleMedical4Ab,Medical Station 1,,,,,,,,,,医疗站 1,,,,,,
actdescMedical4Ab,Place a Medical Station 1,,,,,,,,,,放置一个医疗站 1,,,,,,
acttitleMedical4Ac,Medical Station 2,,,,,,,,,,医疗站 2,,,,,,
actdescMedical4Ac,Place a Medical Station 2,,,,,,,,,,放置一个医疗站 2,,,,,,
acttitleMedical4Ad,Medical Station 3,,,,,,,,,,医疗站 3,,,,,,
actdescMedical4Ad,Place a Medical Station 3,,,,,,,,,,放置一个医疗站 3,,,,,,
acttitleMedical4Ae,Medical Station 4,,,,,,,,,,医疗站 4,,,,,,
actdescMedical4Ae,Place a Medical Station 4,,,,,,,,,,放置一个医疗站 4,,,,,,
acttitleMedical4Af,Food Processor,,,,,,,,,,食物加工机,,,,,,
actdescMedical4Af,Place a Food Processor,,,,,,,,,,放置一个食物加工机,,,,,,
acttitleMedical4Ag,Fridge,,,,,,,,,,冰箱,,,,,,
actdescMedical4Ag,Place a Fridge,,,,,,,,,,放置一个冰箱,,,,,,
tasktitleMedical4B,Stock your Sickbay,,,,,,,,,,储备你的医务室,,,,,,
acttitleMedical4Ba,Bandages,,,,,,,,,,绷带,,,,,,
actdescMedical4Ba,Craft 50 Bandages,,,,,,,,,,制作 50 个绷带,,,,,,
acttitleMedical4Bb,Antibiotic Ointment,,,,,,,,,,抗生素药膏,,,,,,
actdescMedical4Bb,Craft 10 Antibiotic Ointments,,,,,,,,,,制作 10 支抗生素药膏,,,,,,
acttitleMedical4Bc,Antitoxic Ointment,,,,,,,,,,抗毒药膏,,,,,,
actdescMedical4Bc,Craft 10 Antitoxic Ointments,,,,,,,,,,制作 10 支抗毒药膏,,,,,,
acttitleMedical4Bd,Antiradiation Ointment,,,,,,,,,,抗辐射药膏,,,,,,
actdescMedical4Bd,Craft 10 Antiradiaiont Ointments,,,,,,,,,,制作 10 支抗辐射药膏,,,,,,
acttitleMedical4Be,Antibiotic Pills,,,,,,,,,,抗生素药片,,,,,,
actdescMedical4Be,Craft 6 Antibiotic Pills,,,,,,,,,,制作 6 粒抗生素药片,,,,,,
acttitleMedical4Bf,Antitoxic Pills,,,,,,,,,,抗毒药片,,,,,,
actdescMedical4Bf,Craft 6 Antitoxic Pills,,,,,,,,,,制作 6 粒抗毒药片,,,,,,
acttitleMedical4Bg,Anti Radiation Pills,,,,,,,,,,抗辐射药片,,,,,,
actdescMedical4Bg,Craft 6 Anti Radiation Pills,,,,,,,,,,制作 6 粒抗辐射药片,,,,,,
acttitleMedical4Bh,Antiparasite Pills,,,,,,,,,,抗寄生虫药片,,,,,,
actdescMedical4Bh,Craft 6 Antiparasite Pills,,,,,,,,,,制作 6 粒抗寄生虫药片,,,,,,
acttitleMedical4Bi,Antibiotic Injection,,,,,,,,,,抗生素注射液,,,,,,
actdescMedical4Bi,Craft 4 Antibiotic Injections,,,,,,,,,,制作 4 支抗生素注射液,,,,,,
acttitleMedical4Bj,Antitoxic Injection,,,,,,,,,,抗毒注射液,,,,,,
actdescMedical4Bj,Craft 4 Antitoxic Injections,,,,,,,,,,制作 4 支抗毒注射液,,,,,,
acttitleMedical4Bk,Antiradiation Injection,,,,,,,,,,抗辐射注射液,,,,,,
actdescMedical4Bk,Craft 4 Antiradiation Injections,,,,,,,,,,制作 4 支抗辐射注射液,,,,,,
acttitleMedical4Bl,Antiparasite Injection,,,,,,,,,,抗寄生虫注射液,,,,,,
actdescMedical4Bl,Craft 4 Antiparasite Injections,,,,,,,,,,制作 4 支抗寄生虫注射液,,,,,,
chptitleMedical5,Rank 5 - Broken Quarantine,,,,,,,,,,等级 5 - 破碎隔离,,,,,,
chpdescMedical5,We've received an urgent message from the Polaris Medial Authority requesting assistance at Vextar Orntell which has been placed under Quarantine. Head there and see if you can help out.,,,,,,,,,,我们收到了来自极星医疗管理局的紧急消息，请求在已被隔离的韦克斯塔·奥恩特尔提供援助。前往那里看看能否帮忙。,,,,,,
tasktitleMedical5a,Broken Quarantine: Vextar Orntell,,,,,,,,,,破碎隔离：韦克斯塔·奥恩特尔,,,,,,
tasktitleMedical5b,Broken Quarantine: Quarantine Station - Administrator Vrelk,,,,,,,,,,破碎隔离：隔离站 - 管理弗雷克,,,,,,
acttitleMedical5b,Talk to the Administrator Vrelk,,,,,,,,,,与管理弗雷克交谈,,,,,,
actdescMedical5b,Talk to Administrator Vrelk on the Quarantine Station,,,,,,,,,,在隔离站与管理弗雷克交谈,,,,,,
tasktitleMedical5c,Broken Quarantine: Planetary Entry,,,,,,,,,,破碎隔离：行星进入,,,,,,
acttitleMedical5c,Teleport to Quarantine Base Alpha.,,,,,,,,,,传送到隔离基地阿尔法。,,,,,,
actdescMedical5c,Use the teleporter on the Quarantine Station to teleport to the Quarantine Base on Vextar Orntell.\nThe Teleporter Access Code is: 8521.,,,,,,,,,,使用隔离站上的传送器传送到韦克斯塔·奥恩特尔上的隔离基地。\n传送器访问代码是：8521。,,,,,,
tasktitleMedical5e,Broken Quarantine: Quarantine Base Alpha - Security Office,,,,,,,,,,破碎隔离：隔离基地阿尔法 - 安全办公室,,,,,,
acttitleMedical5e,Talk to the Security Chief,,,,,,,,,,与安全酋长交谈,,,,,,
actdescMedical5e,Talk to the Security Chief in the Security Office,,,,,,,,,,在安全办公室与安全酋长交谈,,,,,,
tasktitleMedical5f,Broken Quarantine: Mysterious Structure,,,,,,,,,,破碎隔离：神秘结构,,,,,,
acttitleMedical5f,Investigate the Mysterious Structure,,,,,,,,,,调查神秘结构,,,,,,
actdescMedical5f,Go to the provided coordinates and investigate the Mysterious Structure to try and find the missing researchers.,,,,,,,,,,前往提供的坐标，调查神秘结构，尝试找到失踪的研究人员。,,,,,,
tasktitleMedical5g,Broken Quarantine: Research Team,,,,,,,,,,破碎隔离：研究团队,,,,,,
acttitleMedical5g,Locate the Research Team,,,,,,,,,,找到研究团队,,,,,,
actdescMedical5g,The Medical Research team should be somewhere inside the Mysterious Structure.,,,,,,,,,,医疗研究团队应该在神秘结构内的某个地方。,,,,,,
tasktitleMedical5h,Broken Quarantine: Missing Biochemist,,,,,,,,,,破碎隔离：失踪的生物化学家,,,,,,
