KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
lkwRadResistance,Radiation Resistance:,Strahlungsresistenz:,Résistance aux radiations:,Resistenza Radiazioni:,Resistencia a la radiación:,Resistência a radiações:,Resistência á Radiação:,Odporność na promieniowanie:,Устойчивость к радиации:,放射線抵抗:,辐射抗性:,抗輻射性:,방사선 내성:,,,Stralings bescherming,Kháng bức xạ:
lkwRepairs,Number of Repairs:,Anzahl Reparaturen:,Nb réparations:,Riparazioni Possibili:,Número de reparaciones:,Número de reparações:,Número de Reparos:,Liczba napraw:,Число ремонтов:,修理数:,维修次数:,修理次數:,수리 횟수:,,,Reparaties,Số lần sửa chữa:
lkwStoredArmor,Locker,Spind,Casier,Armadietto,Armario,Armário,Armário,Zawartość,Шкафчик,ロッカー,更衣柜,儲物櫃,로커,,,Locker,Khoá
bmAlienForest,Alien Forest,Alienhafter Wald,Forêt Alien,Foresta Aliena,Bosque alienígena,Floresta Alien,Floresta Alienígena,Osobliwy las,Инопланетный лес,エイリアンフォレスト,外星森林,外星森林,외계 숲,,,Buitenaards bos,Rừng ngoại lai
bmAlienSavanna,Alien Savannah,Alienhafte Savanne,Savane Alien,Savana Aliena,Sabana alienígena,Savana Alien,Savana Alienígena,Osobliwa sawanna,Инопланетная саванна,エイリアンサバンナ,外星草原,外星草原,외계 사바나,,,Buitenaardse savanne,Đồng cỏ ngoại lai
bmArcticForest,Arctic Forest,Arktischer Wald,Forêt arctique,Foresta Artica,Bosque Ártico,Floresta Artic,Floresta Ártica,Zamarznięty las,Арктический лес,厳寒の森,极地森林,極地森林,인공 숲,,,Arctich bos,Rừng bắc cực
bmArcticHighForest,Artic High Forest,Arktischer Wald,Haute forêt arctique,Alta Foresta Artica,Bosque alto Ártico,Alta Floresta Artic,Florestas Árticas Altas,Zamrożony wysoki las,Арктический высокий лес,寒高地,极地密林,極地喬木林,인공 고원,,,Hoog arctisch bos,Rừng cao Artic
bmArcticHighPlains,High Plains,Hochgelegene Ebene,Hautes plaines,Altopiano,Llanuras elevadas,Planícies Elevadas,Planícies Altas,Wyżyny,Высокогорье,高原,高原,高原,고원,,,Hoge arctische vlakten,Cao nguyên
bmArcticIntermediatePlains,Intermediate Plains,Mittleres Flachland,Plaines moyennes,Pianure Intermedie,Llanuras intermedias,Planícies Intermédias,Planícies Intermediárias,Równiny,Плоскогорье,平原,中纬度平原,中層平原,평원,,,Gemiddelde arctische vlakten,Vùng đồng bằng trung gian
bmArcticLowPlains,Hot Springs,Heisse Quellen,Basses plaines,Sorgenti Termali,Aguas termales,Fontes Termais,Fontes Termais,Gorące źródła,Горячие источники,低地,低地,溫泉,온천,,,Lage arctische vlakten,Suối nước nóng
bmBarrenFog,Mist,Nebelgebiet,Brume,Nebbia,Niebla,Neblina,Neblina,Mgła,Туман,霧,雾,迷霧,안개,,,Mist,Sương mù
bmBarrenOpenPlains,Open Plains,Flachland,Grandes plaines,Pianure Aperte,Llanuras abiertas,Planícies Abertas,Planícies Abertas,Rozległe niziny,Открытые равнины,平原,开阔平原,開闊平原,열린 평원,,,Kale open vlakten,Thảo nguyên
bmBarrenRocks,Barren Rocks,Felsen,Roches arides,Rocce Brulle,Rocas áridas,Rochedos Áridos,Deserto Árido de Rochas,Jałowe skały,Бесплодные скалы,砂岩,贫瘠岩石,貧瘠岩地,불모의 바위,,,Kale rotsen,Đá cằn cỗi
bmDesertHighPlains,High Plains,Hohes Flachland,Hautes plaines,Altopiano,Llanuras elevadas,Planícies Elevadas,Planícies Elevadas,Wydmy,Высокогорье,高原,高原,高原,고원,,,Hoge woestijn vlakten,Cao nguyên
bmDesertLargeRocks,Large Rocks,Felsen,Grands rochers,Rocce Grandi,Rocas grandes,Rochedos Grandes,Pedras Grandes,Skalisko,Большие камни,巨岩,巨型岩石,大片岩地,대형 바위,,,Grote woestijn rotsen,Đá lớn
bmDesertLowMountains,Low Mountains,Niedrige Berge,Basses montagnes,Bassa Montagna,Montañas pequeñas,Montanhas Baixas,Montanhas Baixas,Wzgórza,Низкие горы,丘陵,低矮山丘,較低山地,낮은 산,,,Lage woestijn bergen,Núi thấp
bmDesertLowPlains,Low Plains,Niedriges Flachland,Basses plaines,Bassa Pianura,Llanuras bajas,Planícies Baixas,Planícies Baixas,Niziny,Низины,低地,低矮平原,較低平原,저지대 평원,,,Lage woestijn vlakten,Đồng bằng thấp
bmDesertSmallLake,Lake,See,Lac,Lago,Lago,Lago,Lago,Oaza,Лесное озеро,湖,湖泊,湖泊,호수,,,Klein woestijn meer,Hồ
bmDesertSolitude,Desert Solitude,Einöde,Désert aride,Deserto Desolato,Desierto solitario,Solidão do Deserto,Solidão do Deserto,Pustynna głusza,Безлюдная пустыня,砂漠,荒芜沙漠,荒野沙漠,고요한 사막,,,Verlaten woestijn,Sa mạc vắng
bmIslands,Islands,Inselwelt,Iles,Isole,Islas,Ilhas,Ilhas,Wyspy,Острова,島,岛屿,島嶼,섬,,,Eilanden,Quần đảo
bmLava,Lava,Lava,Lave,Lava,Lava,Lava,Lava,Lawa,Лава,溶岩,岩浆,熔岩,용암,,,Lava,Dung nham
bmLavaFog,Lava Fog,Nebelgebiet,Brouillard de lave,Nebbia Lavica,Bruma de lava,Névoa de lava,Névoa de Lava,Magmowy pył,Лавовые испарения,溶岩煙,岩浆雾霾,熔岩霧,용암 안개,,,Lava mist,Sương mù dung nham
bmLavaPlains,Lava Plains,Flachland,Plaines de lave,Pianure Laviche,Llanuras de lava,Planícies de lava,Planícies de lava,Niziny lawy,Лавовые равнины,溶岩,熔岩平原,熔岩平原,용암 평원,,,Lava vlakten,Đồng bằng dung nham
bmMountains,Mountains,Gebirge,Montagnes,Montagne,Montañas,Montanhas,Montanhas,Góry,Горы,山地,山脉,山地,산맥,,,Bergen,Núi
bmOcean,Ocean,Ozean,Océan,Oceano,Océano,Oceano,Oceano,Ocean,Океан,海洋,海洋,海洋,대양,,,Oceaan,đại dương
bmOpenPlains,Open Plains,Offene Prärie,Grandes plaines,Pianure Aperte,Llanuras abiertas,Planícies Abertas,Planícies Abertas,Rozległe niziny,Открытые равнины,平原,开阔平原,開闊平原,열린 평원,,,Open vlakten,Thảo nguyên
bmSmallLake,Lake,See,Lac,Lago,Lago,Lago,Lago,Jezioro,Малое озеро,湖,湖泊,湖泊,호수,,,Meer,Hồ
bmSwamp,Swamp,Sumpf,Marais,Palude,Ciénaga,Pântano,Pântano,Bagno,Болото,沼地,沼泽,沼澤,늪,,,Moeras,Đầm lầy
bmTropicalForest,Tropical Forest,Tropischer Wald,Forêt tropicale,Foresta Tropicale,Bosque tropical,Floresta Tropical,Floresta Tropical,Dżungla,Тропический лес,熱帯林,热带雨林,熱帶森林,열대림,,,Tropisch bos,Rừng nhiệt đới
bmTropicalIsland,Tropical Island,Tropische Insel,Ile tropicale,Isola Tropicale,Isla tropical,Ilha Tropical,Ilha Tropical,Tropikalne wyspy,Тропический остров,熱帯の島,热带岛屿,熱帶島嶼,열대섬,,,Tropisch eiland,Đảo nhiệt đới
bmWater,Lake,See,Lac,Lago,Lago,Lago,Lago,Jezioro,Озеро,湖,湖泊,湖泊,호수,,,Meer,Hồ
AlienBlocks,Alien Building Blocks,Alien Baublöcke,Blocs Alien,Blocchi da Costruzione Alieni,Bloques de construcción alienígena,Blocos de Construção Alien,Blocos de Construção Alienígena,Bloki sztucznej masy,Строительные блоки инопланетян,エイリアンブロック,外星建筑方块,外星建築方塊,외계 빌딩 블록,,,Buitenaardse blokken,Khối xây dựng ngoài hành tinh
AlienFull,Alien Block,Alienblock,Bloc Alien,Blocco Alieno,Bloque alienígena,Bloco Alien,Bloco Alienígena,Blok obcych,Блок инопланетян,エイリアンブロック,外星方块,外星方塊,외계 블록,,,Buitenaards blok,Khối ngoài hành tinh
AlienInteriorGreen01,Alien Block (Green),Außerirdischer Block (grün),Bloc Alien (vert),Blocco Alieno (Verde),Bloque alienígena (verde),Bloco Alien (Verde),Bloco Alienígena (Verde),Blok obcych (zielony),Блок инопланетян (зеленый),エイリアンブロック(グリーン),外星方块 (绿色),外星方塊(綠),외계 블록(녹색),,,Buitenaards blok (groen),Khối ngoài hành tinh (Màu xanh lá cây)
AlienInteriorGreen02,Alien Block 2 (Green),Außerirdischer Block 2 (grün),Bloc Alien 2 (vert),Blocco Alieno 2 (Verde),Bloque alienígena 2 (verde),Bloco Alien 2 (Verde),Bloco Alienígena 2 (Verde),Blok obcych 2 (zielony),Блок инопланетян 2 (зеленый),エイリアンブロックⅡ(グリーン),外星方块2 (绿色),外星方塊2(綠),외계 블록 2(녹색),,,Buitenaards blok 2 (groen),Khối ngoài hành tinh 2 (Xanh lá cây)
AlienInteriorGreenWedge01,Alien Slope (Green),Außerirdischer Block schräg 1 (grün),Bloc Alien incliné (vert),Rampa Aliena (Verde),Ladera alienígena (verde),Inclinação Alien (Verde),Inclinado Alienígena (Verde),Bloki ze sztucznej masy,Блок инопланетян наклонный (зеленый),エイリアンスロープ(グリーン),外星斜坡 (绿色),外星斜坡(綠),외계 경사면(녹색),,,Buitenaardse helling (groen),Dốc ngoài hành tinh (Xanh lục)
AlienThin,Alien Block (thin),Alienblock,Bloc Alien,Blocco Alieno,Bloque alienígena,Bloco Alien,Bloco Alienígena,Blok obcych,Блок инопланетян,エイリアンブロック,外星方块,外星方塊(薄),외계 블록,,,Buitenaards blok,Khối ngoài hành tinh
Artificialmass,Artificial Mass,Künstliche Masse,Masse artificielle,Massa Artificiale,Masa Artificial,Massa Artificial,Massa Artificial,Blok masy,Искусственная масса,マスブロック,人造质量方块,人工質量,인공물,,,Kunstmatige massa,Trọng lượng nhân tạo
ArtMassBlocks,Artificial Mass Blocks,Künstliche Masse Blöcke,Blocs masse artificielle,Blocchi di Massa Artificiale,Bloques de Masa Artificial,Blocos de Massa Artificial,Blocos de Massa Artificial,Bloki betonowe,Блоки искусственной массы,マスブロック,人造质量方块,人工質量方塊,인공물 블록,,,Kunstmatige massa blokken,Khối trọng lượng nhân tạo
ArtMassCVBlocks,Artificial Mass Blocks,Künstliche Masse Blöcke,Blocs Masse artificielle,Blocchi di Massa Artificiale,Bloques de Masa Artificial,Blocos de Massa Artificial,Blocos de Massa Artificial,Bloki betonowe - zniszczone,Блоки искусственной массы,マスブロック,人造质量方块,人工質量方塊,인공물 블록,,,Kunstmatige massa blokken,Khối trọng lượng nhân tạo
ArtMassHeavy,Artificial Mass (Heavy),Künstliche Masse (schwer),Masse artificielle (lourde),Massa Artificiale (Pesante),Masa Artificial (pesado),Massa Artificial (Pesada),Massa Artificial (Pesada),Blok masy (ciężki),Искусственная масса (тяжелая),マスブロック(重),人造质量方块 (重型),人工質量(重),인공물(무거움),,,Kunstmatige massa (Zwaar),Trọng lượng nhân tạo (nặng)
ArtMassHeavyCV,Artificial Mass (Heavy),Künstliche Masse (schwer),Masse artificielle (lourde),Massa Artificiale (Pesante),Masa Artificial (pesada),Massa Artificial (Pesada),Massa Artificial (Pesada),Blok masy (ciężki),Искусственная масса (тяжелая),マスブロック(重),人造质量方块 (重型),人工質量(重),인공물(무거움),,,Kunstmatige massa (Zwaar),Trọng lượng nhân tạo (nặng)
ArtMassLight,Artificial Mass (Light),Künstliche Masse (leicht),Masse artificielle (légère),Massa Artificiale (Leggera),Masa Artificial (ligero),Massa Artificial (Leve),Massa Artificial (Leve),Blok masy (lekki),Искусственная масса (легкая),マスブロック(軽),人造质量方块 (轻型),人工質量(輕),인공물(가벼움),,,Kunstmatige massa (Licht),Trọng lượng nhân tạo (Nhẹ)
ArtMassLightCV,Artificial Mass (Light),Künstliche Masse (leicht),Masse artificielle (légère),Massa Artificiale (Leggera),Masa Artificial (ligero),Massa Artificial (Leve),Massa Artificial (Leve),Blok masy (lekki),Искусственная масса (легкая),マスブロック(軽),人造质量方块 (轻型),人工質量(輕),인공물(가벼움),,,Kunstmatige massa (Licht),Trọng lượng nhân tạo (Nhẹ)
ArtMassMedium,Artificial Mass (Medium),Künstliche Masse (mittel),Masse artificielle (médium),Massa Artificiale (Media),Masa Artificial (medio),Massa Artificial (Média),Massa Artificial (Média),Blok masy (średni),Искусственная масса (средняя),マスブロック(中),人造质量方块 (中型),人工質量(中),인공물(보통),,,Kunstmatige massa (Gemiddeld),Trọng lượng nhân tạo (trung bình)
ArtMassMediumCV,Artificial Mass (Medium),Künstliche Masse (mittel),Masse artificielle (médium),Massa Artificiale (Media),Masa Artificial (medio),Massa Artificial (Média),Massa Artificial (Média),Blok masy (średni),Искусственная масса (средняя),マスブロック(中),人造质量方块 (中型),人工質量(中),인공물(보통),,,Kunstmatige massa (Gemiddeld),Trọng lượng nhân tạo (trung bình)
ConcreteBlocks,Concrete Blocks,Betonblöcke,Blocs béton,Blocchi di Calcestruzzo,Bloques de hormigón,Blocos de Cimento,Blocos de Concreto,Bloki ze stali hartowanej L,Бетонные блоки,コンクリート,水泥方块,混凝土方塊,콘크리트 블록,,,Beton blokken,Khối bê tông
ConcreteDestroyedBlocks,Concrete Blocks - Destroyed,Betonblöcke - zerstört,Blocs béton - détruits,Blocchi di Calcestruzzo - Distrutti,Bloques de hormigón - Destruido,Blocos de Cimento - Destruídos,Blocos de Concreto - Destruído,Bloki ze stali hartowanej S,Бетонные блоки - разбитые,コンクリート - 破損,水泥方块 - 已损毁,混凝土方塊 - 已摧毀,콘크리트 블록 - 파괴됨,,,Beton blokken - Vernietigd,Khối bê tông - Đã bị phá huỷ
ConcreteFull,Concrete Block,Betonblock,Bloc béton,Blocco di Calcestruzzo,Bloque de hormigón,Bloco de Cimento,Bloco de Concreto,Blok betonowy,Бетонный блок,コンクリート,水泥方块,混凝土方塊,콘크리트 블록,,,Beton blok,Khối bê tông
ConcreteFullDestroyed,Concrete Block - Destroyed,Betonblock - zerstört,Bloc béton - détruit,Blocco di Calcestruzzo - Distrutto,Bloque de hormigón - Destruido,Bloco de Cimento - Destruído,Bloco de Concreto - Destruído,Blok betonowy - zniszczony,Бетонный блок - разбитый,コンクリート - 破損,水泥方块 - 已损毁,混凝土方塊 - 已摧毀,콘크리트 블록 - 파괴됨,,,Beton blok - Vernietigd,Khối bê tông - Đã bị phá huỷ
ConcreteThin,Concrete Block (thin),Betonblock (dünn),Bloc de béton (mince),Blocco di cemento (sottile),Bloque de hormigón (fino),Bloco de betão (fino),Bloco de concreto (fino),Blok betonowy (cienki),Бетонный блок,コンクリート,水泥方块,混凝土方塊(薄),콘크리트 블록,,,Beton blok,Khối bê tông
ConcreteThinBlocks,Concrete Blocks (thin),Betonblöcke (dünn),Blocs béton (fin),Blocchi di Calcestruzzo (Sottile),Bloques de hormigón(delgado),Blocos de Cimento (finos),Blocos de Concreto (fino),"Bloki betonowe, płaskie (grupa)",Бетонные блоки (тонкие),コンクリート (薄型),水泥方块 (薄型),混凝土方塊(薄),콘크리트 블록(얇음),,,Beton blokken (Smal),Khối bê tông (mỏng)
ConcreteThinDestroyed,Concrete Blocks (thin) - Destroyed,Betonblöcke (dünn) - zerstört,Blocs béton (fin) - détruits,Blocchi di Calcestruzzo (Sottile) - Distrutti,Bloques de hormigón (delgado) - Destruido,Blocos de Cimento (finos) - Destruídos,Blocos de Aço (fino) - Destruído,"Bloki betonowe, płaskie, zniszczone (grupa)",Бетонные блоки (тонкие) - разбитые,コンクリート (薄型) - 破損,水泥方块 (薄型) - 已损毁,混凝土方塊(薄) - 已摧毀,콘크리트 블록(얇음) - 파괴됨,,,Beton blokken (Smal) - Vernietigd,Khối bê tông (mỏng) - Đã bị phá huỷ
GrowingPot,Growing Plot (Steel),Pflanzenbeet (Stahl),Plot horticole (acier),Terreno da Coltivazione (Acciaio),Parcela de cultivo (acero),Terreno Emergente (Aço),Terra Arada (Aço),Działka ogrodnicza (stal),Растительный модуль (Сталь),農地(スチール),植物生长箱 (钢制),植物培養槽(鋼鐵),성장 대지(강철),,,Groeiplaats (Staal),Ô đất trồng (bằng thép)
GrowingPotConcrete,Growing Plot (Concrete),Pflanzenbeet (Beton),Plot horticole (béton),Terreno da Coltivazione (Calcestruzzo),Parcela de cultivo (hormigón),Terreno Emergente (Cimento),Terra Arada (Concreto),Działka ogrodnicza (beton),Растительный модуль (Бетон),農地(コンクリート),植物生长箱 (水泥),植物培養槽(混凝土),성장 대지(콘크리트),,,Groeiplaats (Beton),Ô đất trồng (bằng bê tông)
GrowingPotWood,Growing Plot (Wood),Pflanzenbeet (Holz),Plot horticole (bois),Terreno da Coltivazione (Legno),Parcela de cultivo (madera),Terreno Emergente (Madeira),Terra Arada (Madeira),Działka ogrodnicza (drewno),Растительный модуль (Дерево),農地(木材),植物生长箱 (木制),植物培養槽(木材),성장 대지(목재),,,Groeiplaats (Hout),Ô đất trồng (bằng gỗ)
HullArmoredFull,Hardened Steel Block,Gehärteter Stahlblock,Bloc acier blindé,Blocco di Acciaio Rinforzato,Bloque de acero endurecido,Bloco de Aço Temperado,Bloco de Aço Reforçado,Blok ze stali hartowanej,Прочный стальной блок,硬化スチール,加固钢制方块,硬化鋼方塊,경화 강철 블록,,,Gehard staal blok,Khối thép cứng
HullArmoredFullLarge,Hardened Steel Block L,Gehärteter Stahlblock L,Bloc acier blindé L,Blocco di Acciaio Rinforzato L,Bloque de acero endurecido L,Bloco de Aço Temperado L,Bloco de Aço Reforçado G,Blok ze stali hartowanej L,Прочный стальной блок Б,硬化スチールL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,,,Gehard staal blok L,Thép tôi cứng L
HullArmoredFullSmall,Hardened Steel Block S,Gehärteter Stahlblock S,Bloc acier blindé S,Blocco di Acciaio Rinforzato S,Bloque de acero endurecido S,Bloco de Aço Temperado S,Bloco de Aço Reforçado P,Blok ze stali hartowanej S,Прочный стальной блок М,硬化スチールS,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,,,Gehard staal blok S,Khối thép cứng S
HullArmoredLargeBlocks,Hardened Steel Blocks L,Gehärtete Stahlblöcke L,Blocs acier blindé L,Blocchi di Acciaio Rinforzato L,Bloques de acero endurecido L,Blocos de Aço Temperado L,Bloco de Aço Reforçado G,Bloki stalowe bojowe L,Прочные стальные блоки Б,硬化スチールL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,,,Gehard staal blokken L,Khối thép cứng L
HullArmoredSmallBlocks,Hardened Steel Blocks S,Gehärtete Stahlblöcke S,Blocs acier blindé S,Blocchi di Acciaio Rinforzato S,Bloques de acero endurecido S,Blocos de Aço Temperado S,Blocos de Aço Reforçado P,Stalowe bloki - zniszczone,Прочные стальные блоки М,硬化スチールS,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,,,Gehard staal blokken S,Khối thép cứng S
HullArmoredThin,Hardened Steel Block (thin),Gehärteter Stahlblock,Bloc acier blindé,Blocco di Acciaio Rinforzato,"Bloque de acero endurecido ",Bloco de aço temperado (fino),Bloco de aço temperado (fino),Blok ze stali hartowanej (cienki),Прочный стальной блок,硬化スチール,加固钢制方块,硬化鋼方塊(薄),경화 강철 블록,,,Gehard staal blokken,Khối thép cứng
HullArmoredThinLarge,Hardened Steel Block L (thin),Gehärteter Stahlblock L,Bloc acier blindé L,"Blocco di Acciaio Rinforzato L ",Bloque de acero endurecido L,Bloco de aço temperado L (fino),Bloco de aço temperado L (fino),Blok ze stali hartowanej L (cienki),Прочный стальной блок Б,硬化スチールL,加固钢制方块 L,硬化鋼大方塊(薄),경화 강철 블록 L,,,Gehard staal blok L,Thép tôi cứng L
HullArmoredThinLargeBlocks,Hardened Steel Blocks L (thin),Gehärtete Stahlblöcke L (dünn),Blocs acier blindé L (fin),Blocchi di Acciaio Rinforzato L (Sottile),Bloques de acero endurecido L (delgado),Blocos de Aço Temperado L (fino),Bloco de Aço Reforçado G (fino),"Bloki stalowe, hartowane, płaskie L (grupa)",Прочные стальные блоки Б (тонкие),硬化スチールL (薄型),加固钢制方块 L (薄型),硬化鋼大方塊(薄),경화 강철 블록 L(얇음),,,Gehard staal blokken L (Smal),Khối thép cứng L (mỏng)
HullArmoredThinSmall,Hardened Steel Block S (thin),Gehärteter Stahlblock S,Bloc acier blindé S,Blocco di Acciaio Rinforzato S,Bloque de acero endurecido S,Bloco de Aço Endurecido S (fino),Bloco de aço reforçado S (fino),Blok z hartowanej stali S (cienki),Прочный стальной блок М,硬化スチールL,加固钢制方块 S,硬化鋼小方塊(薄),경화 강철 블록 S,,,Gehard staal blok S,Khối thép cứng S
HullArmoredThinSmallBlocks,Hardened Steel Blocks S (thin),Gehärtete Stahlblöcke S (dünn),Blocs acier blindé S (fin),Blocchi di Acciaio Rinforzato S (Sottile),Bloques de acero endurecido S (delgado),Blocos de Aço Temperado S (fino),Blocos de Aço Reforçado P (fino),"Bloki stalowe, hartowane, płaskie S (grupa)",Прочные стальные блоки М (тонкие),硬化スチールS (薄型),加固钢制方块 S (薄型),硬化鋼小方塊(薄),경화 강철 블록 S(얇음),,,Gehard staal blokken S (Smal),Khối thép cứng S (mỏng)
HullCombatFullLarge,Combat Steel Block L,Gefechts-Stahlblock L,Bloc acier militaire L,Blocco di Acciaio da Combattimento L,Bloque de acero de combate L,Bloco de Aço Combate L,Bloco de Aço de Combate G,Blok ze stali bojowej L,Блок из оружейной стали Б,戦闘用スチールL,战术钢制方块 L,戰鬥鋼大方塊,전투용 강철 블록 L,,,Gewapend staal blok L,Khối thép chiến đấu L
HullCombatLargeBlocks,Combat Steel Blocks L,Gefechts-Stahlblöcke L,Blocs acier militaire L,Blocchi di Acciaio da Combattimento L,Bloques de acero de combate L,Blocos de Aço Combate L,Blocos de Aço de Combate G,Bloki stalowe L,Блоки из оружейной стали Б,戦闘用スチールL,战术钢制方块组 L,戰鬥鋼大方塊,전투용 강철 블록 L,,,Gewapend staal blokken L,Khối thép chiến đấu L
